library website,base url,type,type 2,country,name,available,wildcards,funding ,size,total collection,books,Articles,Journals,gov-docs,dissertations,archival-manuscripts,newspaper-articles,magazines,subset of,duplicate of,original,bulk data,api endpoint,api endpoint 2,api 3,protocol,,
https://archives.sa.gov.au/,,state,,Australia,State Records of South Australia,,,,,,,,,,,,,,,,,,,,,,,
https://www.archives.act.gov.au/,,state,,Australia, ArchivesACT,,,,,,,,,,,,,,,,,,,,,,,
https://www.rba.gov.au/,,national,,Australia,Reserve Bank of Australia,,,,,,,,,,,,,,,,,,,,,,,
https://www.sclqld.org.au/,,state,,Australia,Supreme Court Library Queensland,,,,,,,,,,,,,,,,,,,,,,,
https://australian.museum/,,national,,Australia,Australian Museum												,,,,,,,,,,,,,,,,,,,,,,,
https://www.nma.gov.au/,,national,,Australia,National Museum of Australia,,,,,,,,,,,,,,,,,,,,,,,
https://libguides.csiro.au/,,academic,,Australia,Commonwealth Scientific and Industrial Research Organisation (CSIRO),,,,,,,,,,,,,,,,,,,,,,,
https://search.informit.org/,,private,,Australia,Informit,,,,,,,,,,,,,,,,,,,,,,,
https://lant.nt.gov.au/,,state,,Australia,Library & Archives NT,,,,,,,,,,,,,,,,,yes,libraries.nt.gov.au : 9000  ,,,z39.50,,
https://collections.museumsvictoria.com.au/,,state,,Australia,Museums Victoria Collections,,,,,,,,,,,,,,,,,,,,,,,
https://www.moadoph.gov.au/,,,,Australia,,,,,,,,,,,,,,,,,,,,,,,,
https://portal.aodn.org.au,,,,Australia,,,,,,,,,,,,,,,,,,,,,,,,
https://www.data.act.gov.au/,,state,opendata,Australia,,,,,,,,,,,,,,,,,,,,,,ckan api,,
https://data.nsw.gov.au/,,state,opendata,Australia,,,,,,,,,,,,,,,,,,,,,,ckan api,,
https://discover.data.vic.gov.au/,,state,opendata,Australia,,,,,,,,,,,,,,,,,,,,,,ckan api,,
https://data.sa.gov.au/,,state,opendata,Australia,,,,,,,,,,,,,,,,,,,,,,ckan api,,
https://www.data.tas.gov.au/,,state,opendata,Australia,,,,,,,,,,,,,,,,,,,,,,ckan api,,
https://www.data.qld.gov.au/,,state,opendata,Australia,,,,,,,,,,,,,,,,,,,,,,ckan api,,
https://data.wa.gov.au/,,state,opendata,Australia,,,,,,,,,,,,,,,,,,,,,,ckan api,,
https://www.unsw.adfa.edu.au/library,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.bbi.catholic.edu.au/library,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://libraries.tas.gov.au/slat/open-data/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.slq.qld.gov.au/get-involved/open-data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.slsa.sa.gov.au/open-data-sets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://slwa.wa.gov.au/collections/wa-open-data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://dataplace.gov.au/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://apo.org.au/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.unsw.edu.au/canberra/library,https://www.unsw.edu.au/,academic,library,Australia,University of New South Wales Library,,,,,,,,,,,,,,,,,,,,,,,
https://library.armadale.wa.gov.au/,https://my.armadale.wa.gov.au/service/,public,library,Australia,City of Armadale Library Service,,no,,small,,,,,,,,,,,,,yes,armadale.spydus.com : 210 ,,,z39.50,,armadale.spydus.com : 210
https://www.austin.org.au/library/,,,,,Austin Health,,,,,,,,,,,,,,,,,,zcat.oclc.org : 210,,,z39.50,,
https://www.bbi.catholic.edu.au/resources/library/about-the-library/,https://www.bbi.catholic.edu.au/,religious,library,Australia,BBI-The Australian Institute of Theological Education ,yes,yes,,medium,224 866 263,4 115 426,113 591 209,1 366 584,1 154 487,4 353 724,,,23 710 847,,,,yes,203.92.7.86 : 210  ,,,z39.50,,
https://www.monlib.vic.gov.au/Home,,public,library,Australia,Monash Public Library Service,,no,,,,,,,,,,,,,,,yes,pubcat.monlib.vic.gov.au : 210  ,,,z39.50,,
https://courts.sdp.sirsidynix.net.au/client/en_AU/FederalCourt,https://www.fedcourt.gov.au/,legal,library,Australia,Federal Court of Australia ,yes,,,,,,,,,,,,,,,,yes, fcal.sirsidynix.net.au : 3614  ,,,z39.50,,
https://glam-workbench.net/,https://glam-workbench.net/,glam,lab,Australia,GLAM Workbench,,,,lab,,,,,,,,,,,,,,,,,,,
